"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2010-01-01,"44_43",0.2337,2112,"TERA",NA
2010-01-17,"44_43",0.2089,2112,"TERA",NA
2010-02-02,"44_43",0.2136,2112,"TERA",NA
2010-02-18,"44_43",0.2149,2112,"TERA",NA
2010-03-06,"44_43",0.2155,2112,"TERA",NA
2010-03-22,"44_43",0.2083,2112,"TERA",NA
2010-04-07,"44_43",0.345,2112,"TERA",NA
2010-04-23,"44_43",0.3004,2112,"TERA",NA
2010-05-09,"44_43",0.3772,2112,"TERA",NA
2010-05-25,"44_43",0.2961,2112,"TERA",NA
2010-06-10,"44_43",0.2823,4160,"TERA",NA
2010-06-26,"44_43",0.3999,2112,"TERA",NA
2010-07-12,"44_43",0.3993,35217,"TERA",NA
2010-07-28,"44_43",0.4992,4233,"TERA",NA
2010-08-13,"44_43",0.2878,2058,"TERA",NA
2010-08-29,"44_43",0.1267,4106,"TERA",NA
2010-09-14,"44_43",0.4618,2181,"TERA",NA
2010-09-30,"44_43",0.4295,2112,"TERA",NA
2010-10-16,"44_43",0.4619,2112,"TERA",NA
2010-11-01,"44_43",0.3515,2112,"TERA",NA
2010-11-17,"44_43",0.3007,2112,"TERA",NA
2010-12-03,"44_43",0.2799,2112,"TERA",NA
2010-12-19,"44_43",0.2552,4164,"TERA",NA
2011-01-01,"44_43",0.228,2112,"TERA",NA
2011-01-17,"44_43",0.2119,2112,"TERA",NA
2011-02-02,"44_43",0.214,4160,"TERA",NA
2011-02-18,"44_43",0.2364,2112,"TERA",NA
2011-03-06,"44_43",0.3099,2112,"TERA",NA
2011-03-22,"44_43",0.39,2112,"TERA",NA
2011-04-07,"44_43",0.4194,2112,"TERA",NA
2011-04-23,"44_43",0.4635,2112,"TERA",NA
2011-05-09,"44_43",0.4866,4160,"TERA",NA
2011-05-25,"44_43",0.4067,2253,"TERA",NA
2011-06-10,"44_43",0.3505,2181,"TERA",NA
2011-06-26,"44_43",0.4089,3478,"TERA",NA
2011-07-12,"44_43",0.4523,2116,"TERA",NA
2011-07-28,"44_43",0.3729,4164,"TERA",NA
2011-08-13,"44_43",0.374,2058,"TERA",NA
2011-08-29,"44_43",0.3438,2181,"TERA",NA
2011-09-14,"44_43",0.3835,2181,"TERA",NA
2011-09-30,"44_43",0.3442,2112,"TERA",NA
2011-10-16,"44_43",0.3009,2112,"TERA",NA
2011-11-01,"44_43",0.3019,4160,"TERA",NA
2011-11-17,"44_43",0.3409,2441,"TERA",NA
2011-12-03,"44_43",0.2419,2112,"TERA",NA
2011-12-19,"44_43",0.2425,4164,"TERA",NA
2012-01-01,"44_43",0.229,4160,"TERA",NA
2012-01-17,"44_43",0.2166,2112,"TERA",NA
2012-02-02,"44_43",0.2902,4229,"TERA",NA
2012-02-18,"44_43",0.229,2112,"TERA",NA
2012-03-05,"44_43",0.2552,4160,"TERA",NA
2012-03-21,"44_43",0.3799,2112,"TERA",NA
2012-04-06,"44_43",0.3334,2181,"TERA",NA
2012-04-22,"44_43",0.3164,4164,"TERA",NA
2012-05-08,"44_43",0.3847,4160,"TERA",NA
2012-05-24,"44_43",0.3498,4365,"TERA",NA
2012-06-09,"44_43",0.3545,4164,"TERA",NA
2012-06-25,"44_43",0.4223,2181,"TERA",NA
2012-07-11,"44_43",0.3802,34888,"TERA",NA
2012-07-27,"44_43",0.407,37141,"TERA",NA
2012-08-12,"44_43",0.4678,4369,"TERA",NA
2012-08-28,"44_43",0.4127,2441,"TERA",NA
2012-09-13,"44_43",0.4487,2441,"TERA",NA
2012-09-29,"44_43",0.2169,35217,"TERA",NA
2012-10-15,"44_43",0.3855,4160,"TERA",NA
2012-10-31,"44_43",0.3192,2112,"TERA",NA
2012-11-16,"44_43",0.3026,2112,"TERA",NA
2012-12-02,"44_43",0.2756,2112,"TERA",NA
2012-12-18,"44_43",0.2553,2116,"TERA",NA
2013-01-01,"44_43",0.2315,2112,"TERA",NA
2013-01-17,"44_43",0.2468,2112,"TERA",NA
2013-02-02,"44_43",0.2281,4160,"TERA",NA
2013-02-18,"44_43",0.2611,4160,"TERA",NA
2013-03-06,"44_43",0.2512,4160,"TERA",NA
2013-03-22,"44_43",0.2618,4160,"TERA",NA
2013-04-07,"44_43",0.3548,4229,"TERA",NA
2013-04-23,"44_43",0.4444,2112,"TERA",NA
2013-05-09,"44_43",0.2949,2112,"TERA",NA
2013-05-25,"44_43",0.3653,4160,"TERA",NA
2013-06-10,"44_43",0.4553,4233,"TERA",NA
2013-06-26,"44_43",0.4325,4164,"TERA",NA
2013-07-12,"44_43",0.1136,4106,"TERA",NA
2013-07-28,"44_43",0.3003,2112,"TERA",NA
2013-08-13,"44_43",0.4836,4160,"TERA",NA
2013-08-29,"44_43",0.5461,4233,"TERA",NA
2013-09-14,"44_43",0.4761,2112,"TERA",NA
2013-09-30,"44_43",0.4166,4160,"TERA",NA
2013-10-16,"44_43",0.3569,2112,"TERA",NA
2013-11-01,"44_43",0.3643,2112,"TERA",NA
2013-11-17,"44_43",0.3438,2112,"TERA",NA
2013-12-03,"44_43",0.3142,2112,"TERA",NA
2013-12-19,"44_43",0.3054,2116,"TERA",NA
2014-01-01,"44_43",0.3545,2112,"TERA",NA
2014-01-17,"44_43",0.2975,2112,"TERA",NA
2014-02-02,"44_43",0.2654,2112,"TERA",NA
2014-02-18,"44_43",0.2724,2112,"TERA",NA
2014-03-06,"44_43",0.3072,2112,"TERA",NA
2014-03-22,"44_43",0.4,2112,"TERA",NA
2014-04-07,"44_43",0.3497,37141,"TERA",NA
2014-04-23,"44_43",0.3935,2112,"TERA",NA
2014-05-09,"44_43",0.4801,2112,"TERA",NA
2014-05-25,"44_43",0.3669,4365,"TERA",NA
2014-06-10,"44_43",0.4685,4233,"TERA",NA
2014-06-26,"44_43",0.4089,35148,"TERA",NA
2014-07-12,"44_43",0.2191,4106,"TERA",NA
2014-07-28,"44_43",0.4134,2181,"TERA",NA
2014-08-13,"44_43",0.4313,4160,"TERA",NA
2014-08-29,"44_43",0.4412,35148,"TERA",NA
2014-09-14,"44_43",0.3929,2112,"TERA",NA
2014-09-30,"44_43",0.3834,4160,"TERA",NA
2014-10-16,"44_43",0.3447,4160,"TERA",NA
2014-11-01,"44_43",0.3069,2112,"TERA",NA
2014-11-17,"44_43",0.301,4160,"TERA",NA
2014-12-03,"44_43",0.2555,2112,"TERA",NA
2014-12-19,"44_43",0.2678,2116,"TERA",NA
2015-01-01,"44_43",0.2176,2112,"TERA",NA
2015-01-17,"44_43",0.2442,2112,"TERA",NA
2015-02-02,"44_43",0.2334,2112,"TERA",NA
2015-02-18,"44_43",0.2914,4164,"TERA",NA
2015-03-06,"44_43",0.2289,4160,"TERA",NA
2015-03-22,"44_43",0.3402,2112,"TERA",NA
2015-04-07,"44_43",0.379,2112,"TERA",NA
2015-04-23,"44_43",0.3185,4160,"TERA",NA
2015-05-09,"44_43",0.347,4160,"TERA",NA
2015-05-25,"44_43",0.3589,2372,"TERA",NA
2015-06-10,"44_43",0.4065,4106,"TERA",NA
2015-06-26,"44_43",0.3654,2372,"TERA",NA
2015-07-12,"44_43",0.3368,2181,"TERA",NA
2015-07-28,"44_43",0.3679,5142,"TERA",NA
2015-08-13,"44_43",0.3418,2441,"TERA",NA
2015-08-29,"44_43",0.2552,4110,"TERA",NA
2015-09-14,"44_43",0.4195,4164,"TERA",NA
2015-09-30,"44_43",0.3579,4164,"TERA",NA
2015-10-16,"44_43",0.3303,2112,"TERA",NA
2015-11-01,"44_43",0.2946,2112,"TERA",NA
2015-11-17,"44_43",0.3502,4164,"TERA",NA
2015-12-03,"44_43",0.3265,2112,"TERA",NA
2015-12-19,"44_43",0.3426,4168,"TERA",0.3426
2016-01-01,"44_43",0.2819,2112,"TERA",NA
2016-01-17,"44_43",0.2955,2112,"TERA",NA
2016-02-02,"44_43",0.2669,2112,"TERA",NA
2016-02-18,"44_43",0.2531,2112,"TERA",NA
2016-03-05,"44_43",0.2911,2112,"TERA",NA
2016-03-21,"44_43",0.192,4160,"TERA",NA
2016-04-06,"44_43",0.219,2112,"TERA",NA
2016-04-22,"44_43",0.3413,35148,"TERA",NA
2016-05-08,"44_43",0.4026,2112,"TERA",NA
2016-05-24,"44_43",0.4301,35148,"TERA",NA
2016-06-09,"44_43",0.7624,2058,"TERA",NA
2016-06-25,"44_43",0.5069,2441,"TERA",NA
2016-07-11,"44_43",0.52,2441,"TERA",NA
2016-07-27,"44_43",0.4891,4365,"TERA",NA
2016-08-12,"44_43",0.4853,2441,"TERA",NA
2016-08-28,"44_43",0.4308,2372,"TERA",NA
2016-09-13,"44_43",0.494,4164,"TERA",NA
2016-09-29,"44_43",0.3659,4160,"TERA",NA
2016-10-15,"44_43",0.4054,4160,"TERA",NA
2016-10-31,"44_43",0.3293,4160,"TERA",NA
2016-11-16,"44_43",0.3265,2112,"TERA",NA
2016-12-02,"44_43",0.3005,2112,"TERA",NA
2016-12-18,"44_43",0.2691,2112,"TERA",NA
2017-01-01,"44_43",0.2634,2112,"TERA",NA
2017-01-17,"44_43",0.278,4160,"TERA",NA
2017-02-02,"44_43",0.2715,4160,"TERA",NA
2017-02-18,"44_43",0.274,2112,"TERA",NA
2017-03-06,"44_43",0.2915,2112,"TERA",NA
2017-03-22,"44_43",0.2594,2112,"TERA",NA
2017-04-07,"44_43",0.3302,2112,"TERA",NA
2017-04-23,"44_43",0.2899,2112,"TERA",NA
2017-05-09,"44_43",0.3089,4160,"TERA",NA
2017-05-25,"44_43",0.3304,2112,"TERA",NA
2017-06-10,"44_43",0.3178,37141,"TERA",NA
2017-06-26,"44_43",0.4274,4110,"TERA",NA
2017-07-12,"44_43",0.363,4164,"TERA",NA
